"Czas (s) Seria nr 5";"Napięcie (V) Seria nr 5"
74.750;1.035
74.800;1.033
74.850;1.031
74.900;1.030
74.950;1.028
75.000;1.026
75.050;1.025
75.100;1.022
75.150;1.020
75.200;1.019
75.250;1.017
75.300;1.016
75.350;1.015
75.400;1.013
75.450;1.012
75.500;1.010
75.550;1.007
75.600;1.006
75.650;1.004
75.700;1.002
75.750;1.001
75.800;0.999
75.850;0.997
75.900;0.995
75.950;0.993
76.000;0.992
76.050;0.991
76.100;0.989
76.150;0.988
76.200;0.986
76.250;0.985
76.300;0.983
76.350;0.981
76.400;0.979
76.450;0.978
76.500;0.976
76.550;0.975
76.600;0.973
76.650;0.972
76.700;0.971
76.750;0.969
76.800;0.967
76.850;0.965
76.900;0.964
76.950;0.962
77.000;0.961
77.050;0.959
77.100;0.957
77.150;0.956
77.200;0.954
77.250;0.953
77.300;0.951
77.350;0.950
77.400;0.949
77.450;0.948
77.500;0.946
77.550;0.944
77.600;0.942
77.650;0.940
77.700;0.938
77.750;0.937
77.800;0.935
77.850;0.934
77.900;0.932
77.950;0.930
78.000;0.928
78.050;0.927
78.100;0.926
78.150;0.925
78.200;0.923
78.250;0.922
78.300;0.920
78.350;0.918
78.400;0.917
78.450;0.916
78.500;0.915
78.550;0.914
78.600;0.912
78.650;0.911
78.700;0.909
78.750;0.907
78.800;0.905
78.850;0.904
78.900;0.903
78.950;0.901
79.000;0.900
79.050;0.899
79.100;0.896
79.150;0.895
79.200;0.894
79.250;0.892
79.300;0.891
79.350;0.890
79.400;0.889
79.450;0.888
79.500;0.886
79.550;0.885
79.600;0.882
79.650;0.882
79.700;0.880
79.750;0.879
79.800;0.877
79.850;0.875
79.900;0.874
79.950;0.872
80.000;0.870
80.050;0.869
80.100;0.867
80.150;0.865
80.200;0.864
80.250;0.863
80.300;0.862
80.350;0.860
80.400;0.859
80.450;0.857
80.500;0.856
80.550;0.856
80.600;0.854
80.650;0.853
80.700;0.851
80.750;0.849
80.800;0.848
80.850;0.846
80.900;0.845
80.950;0.844
81.000;0.842
81.050;0.841
81.100;0.840
81.150;0.838
81.200;0.836
81.250;0.835
81.300;0.834
81.350;0.832
81.400;0.832
81.450;0.831
81.500;0.829
81.550;0.828
81.600;0.826
81.650;0.825
81.700;0.824
81.750;0.822
81.800;0.821
81.850;0.821
81.900;0.819
81.950;0.817
82.000;0.816
82.050;0.814
82.100;0.813
82.150;0.811
82.200;0.810
82.250;0.809
82.300;0.807
82.350;0.805
82.400;0.804
82.450;0.803
82.500;0.801
82.550;0.800
82.600;0.799
82.650;0.798
82.700;0.797
82.750;0.795
82.800;0.794
82.850;0.793
82.900;0.792
82.950;0.791
83.000;0.790
83.050;0.788
83.100;0.787
83.150;0.786
83.200;0.784
83.250;0.783
83.300;0.781
83.350;0.781
83.400;0.779
83.450;0.778
83.500;0.777
83.550;0.775
83.600;0.774
83.650;0.772
83.700;0.771
83.750;0.769
83.800;0.768
83.850;0.768
83.900;0.767
83.950;0.765
84.000;0.764
84.050;0.762
84.100;0.761
84.150;0.760
84.200;0.759
84.250;0.757
84.300;0.756
84.350;0.755
84.400;0.753
84.450;0.752
84.500;0.751
84.550;0.749
84.600;0.748
84.650;0.747
84.700;0.746
84.750;0.744
84.800;0.742
84.850;0.741
84.900;0.740
84.950;0.738
85.000;0.737
85.050;0.737
85.100;0.735
85.150;0.734
85.200;0.732
85.250;0.731
85.300;0.730
85.350;0.728
85.400;0.727
85.450;0.727
85.500;0.725
85.550;0.724
85.600;0.722
85.650;0.721
85.700;0.720
85.750;0.720
